Year,State,Winning Party,Vote %,Seats Won by Majority Party,Total Seats
1999,Andhra Pradesh,NDA,49.75,36,42
1999,Arunachal Pradesh,Congress,56.92,2,2
1999,Assam,Congress,38.42,10,14
1999,Bihar,NDA,43.78,41,54
1999,Goa,BJP,51.49,2,2
1999,Gujarat,BJP,52.48,20,26
1999,Haryana,Congress,34.93,0,10
1999,Himachal Pradesh,NDA,58.64,4,4
1999,Jammu and Kashmir,BJP,31.56,2,6
1999,Karnataka,Congress,45.41,18,28
1999,Kerala,UDF,46.94,11,20
1999,Madhya Pradesh,BJP,46.58,29,40
1999,Maharashtra,BJP+SHS,38.04,28,48
1999,Manipur,Congress,25.29,0,2
1999,Meghalaya,Congress,32.75,1,2
1999,Mizoram,Independents,95.61,1,1
1999,Nagaland,Congress,71.18,1,1
1999,Odisha,BJP+BJD,57.63,19,21
1999,Punjab,Congress,38.44,8,13
1999,Rajasthan,BJP,47.23,16,25
1999,Sikkim,SDF,52.56,1,1
1999,Tamil Nadu,DMK+,45.89,26,39
1999,Tripura,CPM,56.24,2,2
1999,Uttar Pradesh,BJP+,29.95,32,85
1999,West Bengal,Left,46.74,29,42
1999,Andaman and Nicobar Island,BJP,52.74,1,1
1999,Chandigarh,Congress,47.0,1,1
1999,Dadra and Nagar Havelli,Independents,44.92,1,1
1999,Daman and Diu,Congress,49.48,1,1
1999,Delhi,BJP,51.75,7,7
1999,Lakshdweep,Congress,53.96,1,1
1999,Puducherry,Congress,37.17,1,1
